"filename", "language", "Python", "Properties", "comment", "blank", "total"
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\spiders\map.py", "Python", 137, 0, 14, 46, 197
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\spiders\proxyPool_temp.py", "Python", 68, 0, 3, 13, 84
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\airbnbSpider\watcher.py", "Python", 41, 0, 1, 15, 57
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\airbnb_mapRequest.py", "Python", 479, 0, 39, 78, 596
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\calendarParse.py", "Python", 121, 0, 8, 31, 160
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\calendar_task.py", "Python", 22, 0, 2, 58, 82
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\dbSettings.py", "Python", 47, 0, 0, 10, 57
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\items.py", "Python", 12, 0, 6, 6, 24
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\mapParse.py", "Python", 122, 0, 21, 26, 169
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\middlewares.py", "Python", 133, 0, 49, 41, 223
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\pipelines.py", "Python", 92, 0, 13, 24, 129
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\proxyMaintain.py", "Python", 96, 0, 4, 19, 119
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\settings.py", "Python", 37, 0, 64, 25, 126
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\spiders\__init__.py", "Python", 0, 0, 4, 1, 5
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\spiders\calendar.py", "Python", 76, 0, 2, 15, 93
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\spiders\map.py", "Python", 137, 0, 14, 46, 197
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\spiders\proxyPool_temp.py", "Python", 68, 0, 3, 13, 84
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\build\lib\airbnbSpider\watcher.py", "Python", 41, 0, 1, 15, 57
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\scrapy.cfg", "Properties", 0, 4, 5, 3, 12
"c:\Users\linda\OneDrive - hrbeu.edu.cn\projs\20102500-Airbnb房源\airbnbspider\airbnbSpider_scrapy\airbnbSpider\setup.py", "Python", 7, 0, 1, 3, 11
"Total", "-", 3221, 4, 492, 894, 4611
